ShipT
25.2
25.2
25.3
25.5
25.5
25.3
25
25
25
24.9
24.9
26.4
24.9
26.4
24.9
26.6
24.9
26.7
26.7
26.7
26.7
26.7
26.6
26.6
26.6
26.5
26.5
26.5
26.5
26.5
26.5
26.7
26.7
26.7
26.7
26.7
26.7
26.7
26.7
26.8
26.8
26.8
26.7
26.7
26.7
26.7
25.6
26.8
26.8
25.7
26.9
26.9
26.9
26.9
26.9
26.9
26.9
26.9
26.9
26.9
24.7
24.7
24.7
24.7
24.7
24.7
24.7
24.7
24.7
24.7
24.7
24.7
24.7
24.5
24.7
24.5
24.7
24.5
24.7
24.5
24.8
24.5
24.8
24.5
24.7
24.5
24.8
24.5
24.8
24.5
24.8
24.5
25.7
24.8
24.5
26
24.7
24.5
25.9
24.7
24.5
25.8
24.7
24.5
25.7
24.8
24.5
25.8
24.8
24.5
25.9
24.8
24.5
25.8
24.8
24.5
25.9
24.8
24.5
25.9
24.8
24.5
26
24.8
24.5
26
24.8
24.5
24.8
24.5
26.1
24.7
24.5
25.9
24.7
24.8
24.5
25.9
24.8
24.8
24.5
25.9
24.8
24.8
24.5
25.9
24.8
24.7
24.5
26
24.7
24.8
24.5
26
24.7
24.8
24.5
25.9
24.7
24.9
25.5
24.5
26
24.7
24.7
24.9
24.5
25.9
25.5
24.7
24.7
24.8
25.5
24.5
25.9
24.7
24.8
24.9
24.5
25.8
24.7
25.5
24.7
24.9
24.5
24.7
25.5
25.8
24.7
24.9
24.5
24.6
25.5
25.8
24.7
24.7
24.9
25.5
24.5
24.6
25.8
24.7
24.7
24.9
24.5
24.6
26.1
25.5
24.7
24.7
24.9
25.5
24.5
24.6
26.1
24.7
24.8
24.9
25.5
24.5
24.6
24.7
24.7
24.9
24.5
24.6
24.7
25.5
24.7
24.9
24.5
24.6
25.5
24.7
24.7
24.9
24.5
25.6
24.6
26.1
24.7
24.7
24.9
25.6
24.5
24.6
26.1
24.7
24.7
24.9
24.5
26.1
25.6
24.6
24.7
24.7
24.9
25.5
24.5
24.6
26.1
24.7
24.9
24.7
24.5
24.6
26.1
24.7
25.5
24.7
24.9
24.5
24.6
24.7
25.6
24.7
24.9
24.5
24.6
25.5
26.1
24.7
24.7
24.9
25.5
24.5
24.6
24.7
24.7
24.9
24.5
24.6
25.5
24.7
24.7
24.9
25.5
24.5
24.6
24.7
24.7
24.9
24.5
24.6
24.7
25.6
24.9
24.5
24.6
24.7
25.5
24.9
24.5
24.6
25.5
24.7
24.9
25.5
24.5
24.6
24.7
24.9
24.5
24.6
25.5
24.7
24.9
25.6
24.5
24.6
24.7
24.9
25.5
24.5
24.6
24.7
24.9
24.5
24.6
24.6
25.6
24.9
24.5
24.6
25.5
24.6
24.9
25.5
24.5
24.6
24.6
24.9
25.6
24.5
24.6
25.8
24.6
24.9
24.5
25.6
25.8
24.6
24.7
24.9
25.5
24.5
24.6
24.6
25.9
24.9
24.5
24.6
24.6
25.5
25.9
24.9
24.5
24.6
25.5
24.7
24.9
25.9
24.5
25.5
24.6
24.6
25.9
24.9
25.5
24.5
24.6
24.6
25.9
24.9
24.5
24.6
25.6
25.9
24.6
24.9
25.6
25.9
24.5
24.6
24.7
24.9
24.5
24.6
24.7
25.5
25.9
24.9
24.5
24.6
24.7
25.5
25.9
24.9
24.5
24.6
25.6
24.7
25.9
24.9
25.5
24.5
24.6
24.7
25.9
24.9
24.5
24.6
25.5
25.9
24.7
24.9
25.5
25.9
24.5
24.6
24.7
24.9
24.5
24.6
24.7
25.6
25.9
24.9
24.5
24.6
24.7
25.5
25.9
24.9
24.5
24.6
24.7
25.9
24.9
24.5
24.6
24.7
25.9
24.9
24.5
24.6
25.9
24.7
24.9
25.8
24.5
24.7
24.9
24.5
24.7
25.9
24.9
24.5
24.7
25.9
24.9
24.5
24.7
25.8
24.9
24.5
24.7
25.9
24.9
24.5
25.9
24.7
24.9
24.5
25.9
24.7
24.9
24.5
24.7
24.9
25.9
24.5
24.7
25.9
24.9
24.5
24.7
24.9
25.9
24.5
24.7
25.8
24.9
24.5
24.7
25.8
24.9
24.5
25.8
24.7
24.9
25.8
24.5
24.7
24.9
24.5
24.7
25.8
24.9
24.5
24.7
25.9
24.9
24.5
24.7
25.8
24.9
24.5
24.7
25.9
24.9
24.5
24.7
24.9
24.5
24.7
24.9
24.5
24.7
24.9
24.5
24.7
24.9
24.5
24.7
24.9
24.5
24.7
24.9
24.5
24.7
24.9
24.5
24.7
24.9
24.5
24.7
24.9
24.5
24.7
24.9
24.5
24.7
24.9
24.5
24.7
24.9
24.5
24.7
24.9
24.5
24.7
24.9
24.5
24.7
24.9
24.5
24.7
24.9
24.5
24.7
24.9
24.5
24.7
24.9
24.5
24.7
24.9
24.5
24.7
24.9
24.5
24.7
24.9
24.5
24.7
24.9
24.5
24.7
24.9
24.5
24.7
24.9
24.5
24.7
25
24.5
24.7
25
24.5
24.7
25
24.5
24.7
24.9
24.5
24.7
24.9
24.5
24.7
24.9
24.5
24.7
24.9
24.5
24.7
24.9
24.5
24.7
25
