InfraredT,H,RollAngle,PitchingAngle,HeadingAngle,GPS,LowSpeed,A_10,A_10_2,A_30,A_30_2,A_30_10,A_30_MAX,A_80,A_80_2,A_80_10,A_100,A_100_2,A_100_10,A_1_2_T,A_30_T,A_80_T,A_100_T,A_10_T,A_1_5_H,A_30_H,A_80_H,A_100_H
26.5,599.75,0.95684,-1.392287,-55.324805,-58.327104,20.778,1.7,2,3,3.1,3,3.4,4.4,4.1,4,4.5,4.3,4,24.2,24.1,23.6,23.4,24.2,85,84,85,95
26.5,599.75,0.95684,-1.392287,-55.324805,-58.327104,20.778,2.2,2.1,3.2,3.1,3,3.4,3.6,4.1,4,3.9,4.3,4.1,24.2,24.1,23.6,23.4,24.2,85,84,85,94
26.6,599.89,0.492744,-1.953786,-55.244591,-58.91152,20.921,2.1,2.1,3.1,3.2,3.1,3.4,3.6,3.8,3.9,3.5,3.9,4,24.2,24.1,23.7,23.6,24.2,85,84,85,95
26.6,599.89,0.492744,-1.953786,-55.244591,-58.91152,20.921,2.3,2.1,3.1,3,3.1,3.4,3.8,3.8,3.9,4.4,3.9,4,24.2,24.1,23.6,23.5,24.2,85,84,85,96
26.6,599.89,0.492744,-1.953786,-55.244591,-58.91152,20.921,1.7,2,2.7,2.9,3,3.4,3.7,3.9,3.9,3.6,3.9,4,24.2,24.1,23.6,23.5,24.2,85,84,85,96
26.6,599.88,0.630254,-1.312073,-55.806089,-59.450101,20.781,2.3,2,2.6,2.7,2.9,3.4,3.3,3.6,3.9,4.1,4,4,24.2,24.1,23.6,23.5,24.2,85,84,85,95
26.6,599.89,1.730333,-1.49542,-53.411126,-56.997841,20.787,2.4,2.2,2.8,2.8,2.9,3.4,3.9,3.7,3.8,3.7,4,4,24.2,24.1,23.6,23.5,24.2,85,84,85,95
26.6,599.89,1.730333,-1.49542,-53.411126,-56.997841,20.787,2.5,2.3,2.9,2.9,2.9,3.4,3.7,3.7,3.8,4.4,4.1,4,24.2,24.1,23.6,23.4,24.2,85,84,85,95
26.6,599.92,0.613065,-1.695955,-54.138782,-58.304185,20.798,2,2.2,3,2.8,2.9,3.4,4.4,4,3.9,4.1,4.2,4.1,24.2,24.1,23.6,23.5,24.2,85,84,84,94
26.6,599.92,0.613065,-1.695955,-54.138782,-58.304185,20.798,2.1,2.1,2.8,2.9,2.9,3.4,4,4,3.9,4.2,4.2,4.1,24.2,24.2,23.7,23.5,24.2,85,84,84,94
